app_name, en avan,[Aa]ggiornat|in ritardo|puntual,[Aa]ldi|[Pp]enny|[Nn]etto|[Kk]aufland|[sS]aturn| [Ff]ehlen| [fF]ehlt,[Aa]mbiente|carta |giornalini|spreco|spreca |sprechi|sprecare,[Bb]ons? (de)? réduction|[Cc]oupon,[Cc]artace|[cC]assetta,[Cc]arte |fedelt[àa]|[tT]esser,[Cc]artes?,[Cc]ashback|[Cc]oupon|[Bb]uoni sconto|[Bb]uono sconto,[Cc]onfinement|[Cc]orona,[Cc]orona|[Ll]ockdown,[Ff]iltr|ordina per|ordino per|ordinare per,[Ii]nterattiv,[Ll]istes? des? courses?|[Ll]istes? d?'?achats?|[Ff]avori|[sS]auve,[Mm]ancant|ignorat|manca |mancano,[Mm]anqu,[Nn]otifiche,[Pp]andemia|[Vv]irus|[Cc]orona|[Ll]ockdown,[Pp]apier|[ÉeéE]colo|[Pp]lan[èe]te,[Pp]ubblicit[aà],[Rr]egione|[Pp]rovincia|[rR]oma|[Ll]ocal|[pP]osizione|distanza|zona|chilometr|vicin|due passi da,[Tt]ablette,[Zz]oom,[Zz]oom|[Aa]grandi,[Zz]oom|ingrandi,[bB]o[iî]te|[Cc]ourrier|courriel,[bB]riefkast,[cC]oin|[cC]ashback|[gG]utschein,[kK]arte,[lL]ist|[sS]peichern|[eE]inkaufszettel|[lL]ieblings|[fF]avorit,[nN]otifications,[pP]apier|[uU]mwelt|nachhaltig,[sS]alv[ao]|preferiti|[lL]ista della spesa,[sS]tandort|[nN][aä]he|[sS]t[äa]dt|[pP]ostleitzahl,[tT]ablet,[tT]ablet|[iI][pP]ad,[tT]rop (de)? pubs?|[Tt]rop (de )?publicit[ée]s?|[Bb]ourr[ée]e?s? (de )?pubs?|[Bb]ourr[ée]e?s? (de )?publicit[ée]s?|[Bb]lind[ée]e?s? (de )?pubs?|[Bb]lind[ée]e?s? (de )?publicit[ée]s?|[Cc]ombl[ée]e?s? (des? )?pubs?|[Cc]omblee?s? (des? )?publiticit[ée]s?|pub [àa] (la)? pub|[Rr]emplie?s? (de )?pubs?|[Rr]emplie?s? (de )?publicit[ée]s|pubs? vid[ée]o|pop up,[wW]erbung,[àa] jour,anteprim|anticip,cancella|rimouv|scadut,local|[0-9 ]km|code postal,offline,ritaglio|ritaglia|forbici
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_marktguru/de_marktguru, , ,995, , , , , , , ,4, , , , , , , , , , , ,9, , , ,118,284,15,520, ,586, ,349, ,23, ,373, , , , ,10, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_marktguru_three_star/de_marktguru_three_star, , ,438, , , , , , , ,4, , , , , , , , , , , ,3, , , ,14,59,10,166, ,27, ,188, ,10, ,99, , , , ,4, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_marktjagd/de_marktjagd, , ,197, , , , , , , ,0, , , , , , , , , , , ,10, , , ,30,420,8,85, ,102, ,73, ,4, ,106, , , , ,4, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_marktjagd_three_star/de_marktjagd_three_star, , ,116, , , , , , , ,0, , , , , , , , , , , ,7, , , ,7,142,1,28, ,18, ,37, ,3, ,37, , , , ,2, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_meinprospekt/de_meinprospekt, , ,414, , , , , , , ,1, , , , , , , , , , , ,7, , , ,55,3,8,144, ,224, ,79, ,9, ,137, , , , ,2, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_meinprospekt_three_star/de_meinprospekt_three_star, , ,246, , , , , , , ,0, , , , , , , , , , , ,3, , , ,5,2,4,73, ,15, ,49, ,3, ,42, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_prospekt_angebot_de/de_prospekt_angebot_de, , ,1, , , , , , , ,0, , , , , , , , , , , ,0, , , ,0,0,0,0, ,0, ,1, ,0, ,0, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_prospekt_angebot_de_three_star/de_prospekt_angebot_de_three_star, , ,1, , , , , , , ,0, , , , , , , , , , , ,0, , , ,0,0,0,0, ,0, ,1, ,0, ,0, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_prospekte_angebote/de_prospekte_angebote, , ,0, , , , , , , ,0, , , , , , , , , , , ,1, , , ,0,0,0,0, ,1, ,3, ,0, ,8, , , , ,0, 
/home/msteinba/Downloads/bur_scrape/pyscrape_copy/de_prospekte_angebote_three_star/de_prospekte_angebote_three_star, , ,0, , , , , , , ,0, , , , , , , , , , , ,0, , , ,0,0,0,0, ,0, ,1, ,0, ,7, , , , ,0, 
